cod;nome;período;valor
53;DF;1989;116
52;GO;1989;223
51;MT;1989;82
50;MS;1989;95
43;RS;1989;447
42;SC;1989;82
41;PR;1989;255
35;SP;1989;1821
33;RJ;1989;1722
32;ES;1989;180
31;MG;1989;223
28;SE;1989;3946
29;BA;1989;327
27;AL;1989;143
26;PE;1989;943
25;PB;1989;102
24;RN;1989;69
23;CE;1989;121
22;PI;1989;30
21;MA;1989;82
17;TO;1989;13
16;AP;1989;13
15;PA;1989;165
14;RR;1989;1
13;AM;1989;82
12;AC;1989;28
11;RO;1989;114
11;RO;1990;130
12;AC;1990;18
13;AM;1990;119
14;RR;1990;3
15;PA;1990;242
16;AP;1990;11
17;TO;1990;10
21;MA;1990;86
22;PI;1990;16
23;CE;1990;126
24;RN;1990;58
25;PB;1990;95
26;PE;1990;955
27;AL;1990;116
29;BA;1990;289
28;SE;1990;5488
31;MG;1990;240
32;ES;1990;215
33;RJ;1990;3172
35;SP;1990;1861
41;PR;1990;279
42;SC;1990;77
43;RS;1990;551
50;MS;1990;72
51;MT;1990;66
52;GO;1990;180
53;DF;1990;159
11;RO;1991;108
12;AC;1991;38
13;AM;1991;141
14;RR;1991;9
15;PA;1991;232
16;AP;1991;9
17;TO;1991;17
21;MA;1991;118
22;PI;1991;15
23;CE;1991;139
24;RN;1991;65
25;PB;1991;79
26;PE;1991;1046
27;AL;1991;99
29;BA;1991;128
28;SE;1991;4677
31;MG;1991;269
32;ES;1991;229
33;RJ;1991;2207
35;SP;1991;1972
41;PR;1991;266
42;SC;1991;82
43;RS;1991;573
50;MS;1991;106
51;MT;1991;98
52;GO;1991;222
53;DF;1991;209
11;RO;1992;89
12;AC;1992;34
13;AM;1992;81
14;RR;1992;23
15;PA;1992;221
16;AP;1992;24
17;TO;1992;14
21;MA;1992;74
22;PI;1992;15
23;CE;1992;102
24;RN;1992;57
25;PB;1992;101
26;PE;1992;794
27;AL;1992;131
29;BA;1992;237
28;SE;1992;4164
31;MG;1992;231
32;ES;1992;196
33;RJ;1992;1896
35;SP;1992;1841
41;PR;1992;269
