cod,uf,período,mortes,UF,Populacao
14,RR,2022,611,RR,636707
15,PA,2022,6434,PA,8120131
16,AP,2022,691,AP,733759
17,TO,2022,1516,TO,1511460
21,MA,2022,4854,MA,6776699
22,PI,2022,2643,PI,3271199
26,PE,2022,8502,PE,9058931
12,AC,2022,522,AC,830018
13,AM,2022,3222,AM,3941613
25,PB,2022,3070,PB,3974687
24,RN,2022,2509,RN,3302729
23,CE,2022,8181,CE,8794957
27,AL,2022,2484,AL,3127683
28,SE,2022,1922,SE,2210004
29,BA,2022,13648,BA,14141626
31,MG,2022,14021,MG,20539989
32,ES,2022,3816,ES,3833712
33,RJ,2022,12679,RJ,16055174
35,SP,2022,24332,SP,44411238
41,PR,2022,9901,PR,11444380
42,SC,2022,4762,SC,7610361
43,RS,2022,7910,RS,10882965
50,MS,2022,2261,MS,2757013
51,MT,2022,3421,MT,3658649
52,GO,2022,5926,GO,7056495
53,DF,2022,1508,DF,2817381
11,RO,2022,1599,RO,1581196
