cod;nome;período;valor
11;RO;1989;26
28;SE;1989;5
22;PI;1989;6
53;DF;1989;48
52;GO;1989;57
51;MT;1989;21
50;MS;1989;25
43;RS;1989;147
42;SC;1989;20
41;PR;1989;90
35;SP;1989;618
33;RJ;1989;517
32;ES;1989;50
31;MG;1989;76
29;BA;1989;83
27;AL;1989;38
26;PE;1989;247
25;PB;1989;28
24;RN;1989;21
23;CE;1989;26
21;MA;1989;15
17;TO;1989;5
16;AP;1989;6
15;PA;1989;63
14;RR;1989;0
13;AM;1989;26
12;AC;1989;9
31;MG;1990;73
11;RO;1990;28
12;AC;1990;6
13;AM;1990;47
14;RR;1990;1
15;PA;1990;83
16;AP;1990;6
17;TO;1990;3
21;MA;1990;22
23;CE;1990;33
24;RN;1990;23
25;PB;1990;31
26;PE;1990;235
27;AL;1990;24
28;SE;1990;12
29;BA;1990;87
32;ES;1990;53
33;RJ;1990;967
35;SP;1990;643
41;PR;1990;90
42;SC;1990;30
43;RS;1990;194
50;MS;1990;25
51;MT;1990;8
52;GO;1990;39
53;DF;1990;57
22;PI;1990;4
15;PA;1991;73
51;MT;1991;27
52;GO;1991;60
53;DF;1991;62
42;SC;1991;38
41;PR;1991;83
35;SP;1991;660
33;RJ;1991;677
32;ES;1991;51
31;MG;1991;75
29;BA;1991;40
28;SE;1991;18
27;AL;1991;21
50;MS;1991;42
26;PE;1991;254
25;PB;1991;26
24;RN;1991;16
23;CE;1991;34
22;PI;1991;4
21;MA;1991;24
17;TO;1991;4
16;AP;1991;1
13;AM;1991;54
43;RS;1991;212
11;RO;1991;32
12;AC;1991;17
14;RR;1991;3
28;SE;1992;50
32;ES;1992;47
33;RJ;1992;546
35;SP;1992;597
41;PR;1992;89
42;SC;1992;15
43;RS;1992;183
50;MS;1992;34
52;GO;1992;55
53;DF;1992;74
31;MG;1992;73
51;MT;1992;18
29;BA;1992;75
27;AL;1992;25
26;PE;1992;191
25;PB;1992;20
24;RN;1992;17
23;CE;1992;28
22;PI;1992;4
21;MA;1992;14
17;TO;1992;5
16;AP;1992;11
15;PA;1992;63
14;RR;1992;5
13;AM;1992;26
12;AC;1992;5
11;RO;1992;21
12;AC;1993;13
53;DF;1993;100
52;GO;1993;72
50;MS;1993;50
43;RS;1993;139
42;SC;1993;27
41;PR;1993;100
35;SP;1993;766
33;RJ;1993;664
32;ES;1993;94
31;MG;1993;99
29;BA;1993;211
28;SE;1993;34
27;AL;1993;44
26;PE;1993;311
25;PB;1993;31
24;RN;1993;22
15;PA;1993;57
51;MT;1993;26
14;RR;1993;3
22;PI;1993;5
21;MA;1993;16
16;AP;1993;11
17;TO;1993;1
23;CE;1993;52
13;AM;1993;36
11;RO;1993;31
31;MG;1994;91
11;RO;1994;30
12;AC;1994;9
13;AM;1994;45
14;RR;1994;4
15;PA;1994;79
16;AP;1994;13
17;TO;1994;1
21;MA;1994;28
22;PI;1994;3
23;CE;1994;31
24;RN;1994;20
