cod;nome;período;valor
35;SP;1989;64.53
41;PR;1989;51.2
25;PB;1989;45.95
42;SC;1989;52.23
43;RS;1989;56.16
50;MS;1989;48.22
51;MT;1989;39.61
52;GO;1989;47.35
15;PA;1989;46.35
17;TO;1989;36.11
31;MG;1989;51.62
14;RR;1989;100
21;MA;1989;46.59
33;RJ;1989;58.53
29;BA;1989;55.33
22;PI;1989;50
16;AP;1989;65
28;SE;1989;47.89
27;AL;1989;43.2
12;AC;1989;58.33
23;CE;1989;56.02
53;DF;1989;63.74
32;ES;1989;45.57
13;AM;1989;56.16
11;RO;1989;40
26;PE;1989;55.54
24;RN;1989;55.65
26;PE;1990;55.27
33;RJ;1990;57.08
35;SP;1990;62.68
41;PR;1990;51.86
42;SC;1990;46.11
43;RS;1990;55.21
50;MS;1990;44.44
51;MT;1990;36.67
11;RO;1990;44.37
12;AC;1990;54.55
13;AM;1990;59.2
14;RR;1990;33.33
15;PA;1990;52.72
16;AP;1990;64.71
17;TO;1990;40
52;GO;1990;47.37
21;MA;1990;44.33
22;PI;1990;48.48
23;CE;1990;52.07
24;RN;1990;49.57
25;PB;1990;42.41
53;DF;1990;57.19
32;ES;1990;51.31
27;AL;1990;42.49
28;SE;1990;62.67
29;BA;1990;55.26
31;MG;1990;48.58
50;MS;1991;48.62
33;RJ;1991;55.47
43;RS;1991;51.3
42;SC;1991;49.7
26;PE;1991;52.09
27;AL;1991;38.52
28;SE;1991;46.93
29;BA;1991;48.12
14;RR;1991;50
15;PA;1991;47.25
16;AP;1991;47.37
17;TO;1991;36.96
32;ES;1991;48.41
35;SP;1991;62.84
13;AM;1991;60.52
12;AC;1991;60.32
31;MG;1991;52.13
21;MA;1991;58.13
11;RO;1991;40.75
41;PR;1991;47.33
22;PI;1991;48.39
53;DF;1991;66.56
52;GO;1991;50.45
23;CE;1991;57.44
24;RN;1991;59.63
25;PB;1991;43.89
51;MT;1991;43.17
15;PA;1992;47.22
33;RJ;1992;52.96
32;ES;1992;51.44
53;DF;1992;63.47
52;GO;1992;45.32
31;MG;1992;47.34
35;SP;1992;62.3
51;MT;1992;44.3
50;MS;1992;45.53
43;RS;1992;49.86
42;SC;1992;49.01
41;PR;1992;48.56
29;BA;1992;55.37
28;SE;1992;51.28
27;AL;1992;46.13
26;PE;1992;46.19
25;PB;1992;46.33
24;RN;1992;51.82
23;CE;1992;50.5
22;PI;1992;50
21;MA;1992;35.41
17;TO;1992;35
16;AP;1992;63.16
14;RR;1992;44.23
13;AM;1992;48.21
12;AC;1992;64.15
11;RO;1992;38.86
16;AP;1993;66.67
15;PA;1993;46.3
14;RR;1993;37.21
13;AM;1993;55.81
12;AC;1993;59.02
11;RO;1993;44.64
53;DF;1993;64.64
52;GO;1993;50.13
51;MT;1993;47.65
50;MS;1993;43.97
43;RS;1993;53.71
42;SC;1993;46.29
41;PR;1993;50.08
35;SP;1993;62.56
33;RJ;1993;50.79
32;ES;1993;53.15
31;MG;1993;52.52
29;BA;1993;61.01
28;SE;1993;56.36
27;AL;1993;41.88
26;PE;1993;57.58
25;PB;1993;45.85
24;RN;1993;53.64
23;CE;1993;60.74
22;PI;1993;63.33
21;MA;1993;39.31
17;TO;1993;44.44
27;AL;1994;43.23
22;PI;1994;59.38
12;AC;1994;56.1
29;BA;1994;61.51
23;CE;1994;47.31
31;MG;1994;55.65
14;RR;1994;36.73
32;ES;1994;50.34
24;RN;1994;56.41
13;AM;1994;59.78
33;RJ;1994;51.18
21;MA;1994;53.72
28;SE;1994;57.28
17;TO;1994;40
11;RO;1994;42.99
25;PB;1994;52.13
35;SP;1994;64.09
16;AP;1994;62.26
41;PR;1994;50.28
53;DF;1994;64.6
42;SC;1994;46.1
43;RS;1994;53.92
50;MS;1994;48.76
51;MT;1994;38.62
26;PE;1994;56.3
